number,team,game_date,game_id,timestamp,pitcher,batter,called_pitch,called_location,result,strike_type,strike_spot,ball_detail,in_play_outcome,count_before,count_after,batter_outcome
"1","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:03:56.196Z","Lila","1","Fastball","Middle","Ball","","","Missed spot","","0-0","1-0",""
"2","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:04:16.232Z","Lila","1","Fastball","Middle","Strike","Swinging","Hit spot","","","1-0","1-1",""
"3","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:04:34.397Z","Lila","1","Fastball","In","Ball","","","Missed spot","","1-1","2-1",""
"4","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:04:46.971Z","Lila","1","Fastball","In","Strike","Swinging","Hit spot","","","2-1","2-2",""
"5","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:05:04.132Z","Lila","1","Fastball","In","Strike","Swinging","Hit spot","","","2-2","2-3","Strikeout"
"6","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:05:35.035Z","Lila","2","Fastball","In","Ball","","","Right spot · called ball","","0-0","1-0",""
"7","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:05:56.270Z","Lila","2","Fastball","","Ball","","","Missed spot","","1-0","2-0",""
"8","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:06:14.021Z","Lila","2","Fastball","In","Strike","Swinging","Hit spot","","","2-0","2-1",""
"9","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:06:34.091Z","Lila","2","Fastball","In","Ball","","","Missed spot","","2-1","3-1",""
"10","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:06:57.403Z","Lila","2","Fastball","Middle","Ball","","","Right spot · called ball","","3-1","4-1","Walk"
"11","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:07:26.257Z","Lila","3","Fastball","In","Ball","","","Missed spot","","0-0","1-0",""
"12","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:07:46.688Z","Lila","3","Fastball","In","Strike","Swinging","Hit spot","","","1-0","1-1",""
"13","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:08:32.668Z","Lila","3","Fastball","In","In play","","","","Hit","1-1","1-1","Hit"
"14","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:16:56.624Z","Lila","4","Fastball","In","Ball","","","Missed spot","","0-0","1-0",""
"15","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:17:10.320Z","Lila","4","Fastball","Middle","Ball","","","Missed spot","","1-0","2-0",""
"16","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:17:31.005Z","Lila","4","Fastball","Down / In","Ball","","","Missed spot","","2-0","3-0",""
"17","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:17:52.249Z","Lila","4","Fastball","Down","Strike","Looking","Hit spot","","","3-0","3-1",""
"18","","2026-09-19","legacy-20260919T180356196Z","2026-09-19T18:18:12.206Z","Lila","4","Fastball","In","Ball","","","Missed spot","","3-1","4-1","Walk"
